"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"18-24",96580,"5-7 years","Master's degree","Man","Engineering or Manufacturing","validation engineer"
"35-44",135200,"11 - 20 years","Master's degree","Woman","Computing or Tech","Senior Software Engineer"
"18-24",70000,"1 year or less","College degree","Woman","Business or Consulting","Technology consultant"
"25-34",104000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Aerospace engineer"
"35-44",130000,"11 - 20 years","Master's degree","Woman","Nonprofits","Development Director"
"25-34",150000,"8 - 10 years","College degree","Woman","Transport or Logistics","Director"
"25-34",90000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Creative Awards Manager"
"25-34",64000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Assistant Vice President - Operations Supervisor"
"35-44",153000,"11 - 20 years","Master's degree","Woman","Utilities & Telecommunications","Associate Director"
"25-34",52000,"11 - 20 years","Master's degree","Woman","Health care","Speech-Language Pathology Clinical Fellow"
"25-34",85000,"11 - 20 years","Master's degree","Woman","Nonprofits","Recruiting Manager"
"25-34",105000,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Senior Content Editor"
"25-34",36536,"2 - 4 years","College degree","Woman","Education (Higher Education)","Graduate Research Assistant, Computer Science"
"35-44",51000,"11 - 20 years","College degree","Man","Content Review - Copyright/DMCA","Tier 2 Copyright Admin"
"35-44",42000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Research fellow (lab/field technician)"
"25-34",85000,"8 - 10 years","Master's degree","Woman","Education (Primary/Secondary)","Math Specialist"
"25-34",123000,"2 - 4 years","PhD","Woman","Entertainment","Associate Data Scientist"
"45-54",96000,"21 - 30 years","Master's degree","Woman","Health care","SharePoint Product Owner"
"45-54",90000,"21 - 30 years","College degree","Woman","Insurance","Sr. Account Relationship Manager"
"25-34",80000,"8 - 10 years","College degree","Woman","Media & Digital","Solutions Analyst"
"25-34",65624,"11 - 20 years","College degree","Woman","Computing or Tech","Customer service lead"
"35-44",2e+05,"8 - 10 years","PhD","Man","Education (Higher Education)","associate professor"
"25-34",165000,"5-7 years","Master's degree","Woman","Business or Consulting","Consultant"
"25-34",165000,"1 year or less","PhD","Woman","Business or Consulting","Associate"
"25-34",165000,"2 - 4 years","College degree","Woman","Computing or Tech","Product Director"
"35-44",162000,"21 - 30 years","Master's degree","Man","Computing or Tech","Senior Software Engineer"
"25-34",58500,"2 - 4 years","PhD","Woman","Research Science","Postdoctoral Associate"
"25-34",124000,"8 - 10 years","PhD","Woman","Education (Higher Education)","Assistant Professor"
"35-44",125000,"8 - 10 years","PhD","Woman","Nonprofits","Director of Research"
"35-44",280000,"11 - 20 years","PhD","Man","Computing or Tech","Manager of Data Science"
"25-34",65000,"5-7 years","College degree","Woman",NA,"Vendor Manager"
"35-44",134000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Chief of Operations, University Development"
"35-44",112500,"11 - 20 years","College degree","Woman","Computing or Tech","Mid-level SharePoint Developer"
"35-44",165000,"11 - 20 years","College degree","Woman","Computing or Tech","Design Lead"
"35-44",80000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Communications"
"25-34",46000,"5-7 years","College degree","Woman","Nonprofits","Program Specialist"
"25-34",75000,"5-7 years","College degree","Man","Computing or Tech","Web Developer"
"45-54",240000,"21 - 30 years","College degree","Man","Computing or Tech","Sales Director"
"25-34",88000,"8 - 10 years","Master's degree","Woman","Engineering or Manufacturing","Senior Supply Chain Planner"
"25-34",95000,"2 - 4 years","College degree","Man","Computing or Tech","software engineer"
"35-44",71000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Office Manager"
"25-34",171000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Business or Consulting","Consultant"
"25-34",1e+05,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Senior Financial Analyst"
"35-44",180000,"21 - 30 years","College degree","Man","Computing or Tech","Site Reliability Engineer SRE"
"35-44",242985,"11 - 20 years","College degree","Man","Computing or Tech","Software Developer"
"25-34",102000,"8 - 10 years","College degree","Woman","Computing or Tech","Technical project manager"
"25-34",67000,"5-7 years","Master's degree","Woman","Social Work","Social Worker for a State Agency"
"45-54",96000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","Interim Director of Cataloging and Metadata Services"
"35-44",2e+05,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Staff sw engineer"
"35-44",55000,"11 - 20 years","Master's degree","Woman","Nonprofits","Marketing Manager"
"25-34",198000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Vice President"
"25-34",55000,"11 - 20 years","College degree","Man","Computing or Tech","Systems Engineer"
"25-34",65000,"5-7 years","Master's degree","Man","Marketing, Advertising & PR","Copywriter"
"25-34",40000,"5-7 years","College degree","Woman","Education (Higher Education)","Academic Support Coordinator"
"35-44",87000,"11 - 20 years","Master's degree","Woman","Training","eLearning Specialist"
"45-54",66750,"21 - 30 years","Master's degree","Woman","Nonprofits","Library Branch Manager"
"35-44",55000,"11 - 20 years","High School","Man","Computing or Tech","Project Engineer"
"35-44",104000,"8 - 10 years","College degree","Woman","Sales","Manager of Sales Operations"
"35-44",63000,"11 - 20 years","College degree","Woman","Nonprofits","Graphic Designer and Production Manager"
"35-44",150000,"21 - 30 years","College degree","Man","Entertainment","Senior product designer"
"45-54",87360,"21 - 30 years","College degree","Woman","Leisure, Sport & Tourism","Executive Assistant"
"25-34",62878,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Marketer"
"45-54",38000,"21 - 30 years","College degree","Woman","Nonprofits","HR Compliance Coordinator/Admin Assistant"
"65 or over",50000,"31 - 40 years","High School","Woman","Wholesale Industrial & Welding Supplies & Equipment","HR Manager"
"25-34",115000,"5-7 years","College degree","Woman","Media & Digital","Senior Video Journalist"
"25-34",150000,"5-7 years","Master's degree","Woman","Nonprofits","Case Team Leader"
"25-34",49000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Career Services Coordinator"
"25-34",37440,"2 - 4 years","Master's degree","Woman","Education (Primary/Secondary)","Registrar"
"45-54",82000,"21 - 30 years","College degree","Woman","Education (Higher Education)","Application Developer"
"35-44",192000,"11 - 20 years","Master's degree","Man","Accounting, Banking & Finance","Portfolio Manager"
"25-34",28000,"8 - 10 years","College degree","Woman","Engineering or Manufacturing","Welder"
"35-44",60000,"11 - 20 years","College degree","Woman","Retail","General Manager"
"45-54",65000,"11 - 20 years","College degree","Woman","Law","Pro Bono Director"
"45-54",46450,"11 - 20 years","College degree","Woman","Government and Public Administration","Administrative Assistant - HR"
"18-24",56400,"2 - 4 years","College degree","Man","Computing or Tech","Full Stack Developer"
"35-44",49212,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Coordinator"
"25-34",30000,"2 - 4 years","College degree","Man","Computing or Tech","Technical Support"
"25-34",85000,"5-7 years","Professional degree (MD, JD, etc.)","Woman","Nonprofits","Policy Counsel"
"45-54",150000,"11 - 20 years","PhD","Man","Computing or Tech","Senior Software Developer"
"35-44",270000,"11 - 20 years","PhD","Man","Health care","Senior Director"
"25-34",42000,"11 - 20 years","Master's degree","Woman","Nonprofits","Associate Director of Membership & Events"
"25-34",65000,"2 - 4 years","College degree","Woman","Engineering or Manufacturing","Civil Engineer"
"35-44",71000,"11 - 20 years","College degree","Woman","Sales","Operations Specialist"
"25-34",66700,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Talent Acquisition Partner"
"25-34",83000,"2 - 4 years","College degree","Woman","Insurance","Software Developer"
"35-44",58000,"11 - 20 years","Master's degree","Woman","Health care","Hospice chaplain"
"18-24",59500,"1 year or less","College degree","Woman","Aerospace and Defense","Procurement Representative"
"25-34",122000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Email Marketing Manager"
"35-44",92000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Epidemiologist"
"25-34",72000,"5-7 years","Master's degree","Woman","Business or Consulting","Consultant"
"25-34",137000,"11 - 20 years","College degree","Man","Business or Consulting","Director, Analytics"
"25-34",43680,"2 - 4 years","College degree","Woman","Health care","Front office coordinator"
"25-34",111800,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Senior Engineer"
"45-54",137000,"21 - 30 years","Master's degree","Woman","Hospitality & Events","Director of Strategy"
"25-34",83000,"5-7 years","College degree","Woman","Computing or Tech","Quality Manager"
"35-44",150000,"21 - 30 years","College degree","Man","Nonprofits","IT Director"
"35-44",59000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Academic Coordinator"
"35-44",80000,"21 - 30 years","College degree","Woman","Computing or Tech","Implementation Specialist"
"35-44",121000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Executive Director of Digital Strategies"
"45-54",62000,"31 - 40 years","Master's degree","Woman","Education (Higher Education)","Head of Technical Services"
"35-44",93000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Library Manager"
"25-34",57000,"5-7 years","College degree","Woman","Nonprofits","Senior Program Manager"
"45-54",162000,"21 - 30 years","Master's degree","Man","Computing or Tech","Principal Data Science Manager"
"18-24",77000,"2 - 4 years","College degree","Woman","Business or Consulting","Defense consultant"
"35-44",127000,"11 - 20 years","Master's degree","Woman","Public Health, local government","Health Officer"
"35-44",1e+05,"8 - 10 years","Master's degree","Woman","Nonprofits","Associate"
"35-44",2e+05,"11 - 20 years","Master's degree","Woman","Computing or Tech","Engineering Manager"
"25-34",100050,"8 - 10 years","College degree","Woman","Health care","Senior Regulatory Affairs Specialist"
"25-34",177000,"11 - 20 years","College degree","Woman","Media & Digital","Senior Manager Growth Marketing"
"35-44",105000,"11 - 20 years","College degree","Woman","Commercial Real Estate","Senior Leasing Representative"
"25-34",220000,"11 - 20 years","College degree","Woman","Recruitment or HR","Recruiter"
"35-44",80000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Document Layout Specialist"
"45-54",90000,"21 - 30 years","College degree","Man","Education (Higher Education)","Director of Human Resources"
"35-44",107000,"21 - 30 years","College degree","Woman","oil & gas","Land Negotiator"
"25-34",73078,"11 - 20 years","College degree","Woman","Nonprofits","Development Manager"
"25-34",85000,"5-7 years","PhD","Woman","Health care","Medical writer"
"35-44",65000,"11 - 20 years","College degree","Woman","Insurance","Contract analyst"
"25-34",41000,"5-7 years","College degree","Woman","Art & Design","Graphic Designer"
"35-44",55785,"8 - 10 years","PhD","Woman","Education (Higher Education)","Student Services Coordinator"
"45-54",92000,"21 - 30 years","Master's degree","Woman","Marketing, Advertising & PR","Director of Research"
"25-34",5100,"8 - 10 years","College degree","Woman","Health care","Medical Biller"
"35-44",115000,"11 - 20 years","College degree","Woman","Art & Design","Lead Director of Project Development"
"35-44",83400,"11 - 20 years","College degree","Man","Business or Consulting","Consultant"
"25-34",88000,"8 - 10 years","College degree","Man","Manufacturing","Compensation Manager"
"25-34",80000,"11 - 20 years","College degree","Woman","Computing or Tech","Project Manager"
"35-44",125500,"11 - 20 years","College degree","Woman","Property or Construction","Sr. Manager of Project Controls"
"35-44",97000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Director of College Counseling"
"35-44",105000,"8 - 10 years","Master's degree","Woman","Media & Digital","editor"
"35-44",150000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Civil Engineer"
